X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
5.7925,53.087337,455,Friesland,Netherlands,2022/09/11 05:20:45+00,53.087337,5.7925,286697,620
5.939114,52.061738,456,Gelderland,Netherlands,2022/09/11 05:20:45+00,52.061738,5.939114,1025822,2871
6.741514,53.217922,457,Groningen,Netherlands,2022/09/11 05:20:45+00,53.217922,6.741514,258081,360
5.93387,51.209227,458,Limburg,Netherlands,2022/09/11 05:20:45+00,51.209227,5.93387,548930,2184
5.184942,51.561174,459,Noord-Brabant,Netherlands,2022/09/11 05:20:45+00,51.561174,5.184942,1276426,3738
4.918688,52.600906,460,Noord-Holland,Netherlands,2022/09/11 05:20:45+00,52.600906,4.918688,1382461,3440
6.441722,52.444558,461,Overijssel,Netherlands,2022/09/11 05:20:45+00,52.444558,6.441722,585984,1440
-63.0548,18.0425,462,Sint Maarten,Netherlands,2022/09/11 05:20:45+00,18.0425,-63.0548,10847,87
,,463,Unknown,Netherlands,2022/09/11 05:20:45+00,,,0,0
5.163824,52.084251,464,Utrecht,Netherlands,2022/09/11 05:20:45+00,52.084251,5.163824,691373,1551
3.861559,51.47936,465,Zeeland,Netherlands,2022/09/11 05:20:45+00,51.47936,3.861559,175623,396
4.462114,51.937835,466,Zuid-Holland,Netherlands,2022/09/11 05:20:45+00,51.937835,4.462114,1762814,5219
174.886,-40.9006,467,,New Zealand,2022/09/11 05:20:45+00,-40.9006,174.886,1758884,1950
-159.7777,-21.2367,468,Cook Islands,New Zealand,2022/09/11 05:20:45+00,-21.2367,-159.7777,6386,1
-85.207229,12.865416,469,,Nicaragua,2022/09/11 05:20:45+00,12.865416,-85.207229,14931,244
8.081666,17.607789,470,,Niger,2022/09/11 05:20:45+00,17.607789,8.081666,9931,312
8.6753,9.082,471,,Nigeria,2022/09/11 05:20:45+00,9.082,8.6753,264299,3154
21.7453,41.6086,472,,North Macedonia,2022/09/11 05:20:45+00,41.6086,21.7453,341404,9506
8.4689,60.472,473,,Norway,2022/09/11 05:20:45+00,60.472,8.4689,1460970,4004
55.923255,21.512583,474,,Oman,2022/09/11 05:20:45+00,21.512583,55.923255,397993,4628
73.947253,34.027401,475,Azad Jammu and Kashmir,Pakistan,2022/09/11 05:20:45+00,34.027401,73.947253,44292,793
65.898403,28.328492,476,Balochistan,Pakistan,2022/09/11 05:20:45+00,28.328492,65.898403,35967,378
74.982138,35.792146,477,Gilgit-Baltistan,Pakistan,2022/09/11 05:20:45+00,35.792146,74.982138,12037,191
73.121219,33.665087,478,Islamabad,Pakistan,2022/09/11 05:20:45+00,33.665087,73.121219,139300,1031
72.09169,34.485332,479,Khyber Pakhtunkhwa,Pakistan,2022/09/11 05:20:45+00,34.485332,72.09169,223885,6359
72.139132,30.811346,480,Punjab,Pakistan,2022/09/11 05:20:45+00,30.811346,72.139132,521640,13610
68.776807,26.009446,481,Sindh,Pakistan,2022/09/11 05:20:45+00,26.009446,68.776807,593675,8236
134.5825,7.515,482,,Palau,2022/09/11 05:20:45+00,7.515,134.5825,5430,6
-80.7821,8.538,483,,Panama,2022/09/11 05:20:45+00,8.538,-80.7821,981822,8480
143.95555,-6.314993,484,,Papua New Guinea,2022/09/11 05:20:45+00,-6.314993,143.95555,44900,664
-58.4438,-23.4425,485,,Paraguay,2022/09/11 05:20:45+00,-23.4425,-58.4438,715806,19530
-78.050172,-5.077253,486,Amazonas,Peru,2022/09/11 05:20:45+00,-5.077253,-78.050172,49506,1367
-77.671795,-9.407125,487,Ancash,Peru,2022/09/11 05:20:45+00,-9.407125,-77.671795,147488,7330
-72.975378,-14.027713,488,Apurimac,Peru,2022/09/11 05:20:45+00,-14.027713,-72.975378,44146,1673
-72.475539,-15.843524,489,Arequipa,Peru,2022/09/11 05:20:45+00,-15.843524,-72.475539,267282,10556
-74.08344,-14.091648,490,Ayacucho,Peru,2022/09/11 05:20:45+00,-14.091648,-74.08344,53376,2370
-78.745596,-6.430284,491,Cajamarca,Peru,2022/09/11 05:20:45+00,-6.430284,-78.745596,108893,4540
-77.136042,-11.954609,492,Callao,Peru,2022/09/11 05:20:45+00,-11.954609,-77.136042,159385,10598
-72.153609,-13.191068,493,Cusco,Peru,2022/09/11 05:20:45+00,-13.191068,-72.153609,134535,5303
-75.00277,-13.023888,494,Huancavelica,Peru,2022/09/11 05:20:45+00,-13.023888,-75.00277,28692,1307
-76.040642,-9.421676,495,Huanuco,Peru,2022/09/11 05:20:45+00,-9.421676,-76.040642,57873,2952
-75.574821,-14.235097,496,Ica,Peru,2022/09/11 05:20:45+00,-14.235097,-75.574821,116556,9025
-74.876968,-11.541783,497,Junin,Peru,2022/09/11 05:20:45+00,-11.541783,-74.876968,145802,7616
-78.370238,-7.92139,498,La Libertad,Peru,2022/09/11 05:20:45+00,-7.92139,-78.370238,168097,10997
-79.824113,-6.353049,499,Lambayeque,Peru,2022/09/11 05:20:45+00,-6.353049,-79.824113,119208,9317
-76.604498,-11.766533,500,Lima,Peru,2022/09/11 05:20:45+00,-11.766533,-76.604498,1898026,94331
-74.424115,-4.124847,501,Loreto,Peru,2022/09/11 05:20:45+00,-4.124847,-74.424115,62564,4418
-70.53172,-11.972699,502,Madre de Dios,Peru,2022/09/11 05:20:45+00,-11.972699,-70.53172,20362,871
-70.839046,-16.860271,503,Moquegua,Peru,2022/09/11 05:20:45+00,-16.860271,-70.839046,58909,1672
-75.307635,-10.39655,504,Pasco,Peru,2022/09/11 05:20:45+00,-10.39655,-75.307635,27183,1135
-80.335861,-5.133361,505,Piura,Peru,2022/09/11 05:20:45+00,-5.133361,-80.335861,171818,13203
-69.922726,-14.995827,506,Puno,Peru,2022/09/11 05:20:45+00,-14.995827,-69.922726,73835,4909
-76.729127,-7.039531,507,San Martin,Peru,2022/09/11 05:20:45+00,-7.039531,-76.729127,67050,3203
-70.27756,-17.644161,508,Tacna,Peru,2022/09/11 05:20:45+00,-17.644161,-70.27756,60126,2177
-80.545255,-3.857496,509,Tumbes,Peru,2022/09/11 05:20:45+00,-3.857496,-80.545255,31436,1718
-73.444929,-9.621718,510,Ucayali,Peru,2022/09/11 05:20:45+00,-9.621718,-73.444929,42969,3289
,,511,Unknown,Peru,2022/09/11 05:20:45+00,,,10091,209
